Level	Object	Level1	Level2	IndexCode	Delegate	Help tip
5	Border	Inner shadow	Blend mode	BorderInner shadowBlend mode	Combobox	N/A
5	Border	Inner shadow	Distance	BorderInner shadowDistance	Slider	N/A
5	Border	Inner shadow	Color	BorderInner shadowColor	Color picker	N/A
5	Border	Outer glow	Blend mode	BorderOuter glowBlend mode	Combobox	N/A
5	Border	Outer glow	Opacity	BorderOuter glowOpacity	Slider	N/A
5	Border	Outer glow	Fade	BorderOuter glowFade	Slider	N/A
5	Border	Outer glow	Distance	BorderOuter glowDistance	Slider	N/A
5	Border	Inner glow	Blend mode	BorderInner glowBlend mode	Combobox	N/A
5	Border	Inner glow	Opacity	BorderInner glowOpacity	Slider	N/A
5	Border	Inner glow	Fade	BorderInner glowFade	Slider	N/A
5	Border	Inner glow	Distance	BorderInner glowDistance	Slider	N/A
5	Border	Bevel	Type	BorderBevelType	Combobox	N/A
5	Border	Bevel	Contour	BorderBevelContour	Combobox + Button	N/A
5	Border	Bevel	Size	BorderBevelSize	Slider	N/A
5	Border	Bevel	Softness	BorderBevelSoftness	Slider	N/A
4	Text	Source	N/A	TextSource	Combobox + Button	N/A
4	Text	Text	N/A	TextText	Text	N/A
4	Text	Font	N/A	TextFont	Combobox	N/A
4	Text	Size	N/A	TextSize	Slider	N/A
4	Text	Color	N/A	TextColor	Color picker	N/A
4	Text	Opacity	N/A	TextOpacity	Slider	N/A
4	Text	Blending mode	N/A	TextBlending mode	Combobox	N/A
5	Text	Halo	Size	TextHaloSize	Slider	N/A
5	Text	Halo	Color	TextHaloColor	Color picker	N/A
5	Text	Halo	Opacity	TextHaloOpacity	Slider	N/A
5	Text	Halo	Fade	TextHaloFade	Slider	N/A
5	Text	Shadow	Opacity	TextShadowOpacity	Slider	N/A
5	Text	Shadow	Blend mode	TextShadowBlend mode	Combobox	N/A
5	Text	Shadow	Distance	TextShadowDistance	Slider	N/A
5	Text	Shadow	Color	TextShadowColor	Color picker	N/A
5	Text	Location	Reference object	TextLocationReference object	Combobox	N/A
5	Text	Location	Reference portion	TextLocationReference portion	Combobox	N/A
5	Text	Location	Orientation	TextLocationOrientation	Dial	N/A
5	Text	Location	X	TextLocationX	Text	N/A
5	Text	Location	Y	TextLocationY	Text	N/A
5	Text	Location	Anchor from	TextLocationAnchor from	Text	N/A
5	Text	Location	Anchor to	TextLocationAnchor to	Text	N/A
5	Text	Location	Orientation	TextLocationOrientation	Dial	N/A
4	Shape	Type	N/A	ShapeType	Combobox	N/A
5	Shape	Locaton	Pt 1 X	ShapeLocatonPt 1 X	Text	N/A
5	Shape	Locaton	Pt 1 Y	ShapeLocatonPt 1 Y	Text	N/A
5	Shape	Locaton	Pt 2 X	ShapeLocatonPt 2 X	Text	N/A
5	Shape	Locaton	Pt 2 Y	ShapeLocatonPt 2 Y	Text	N/A
5	Shape	Location	Anchor from	ShapeLocationAnchor from	Text	N/A
5	Shape	Location	Anchor to	ShapeLocationAnchor to	Text	N/A
5	Shape	Line	Type	ShapeLineType	Combobox	N/A
5	Shape	Line	Width	ShapeLineWidth	Slider	N/A
5	Shape	Line	Color	ShapeLineColor	Color picker	N/A
5	Shape	Line	Opacity	ShapeLineOpacity	Slider	N/A
5	Shape	Line	Texture	ShapeLineTexture	Combobox + Button	N/A
5	Shape	Halo	Size	ShapeHaloSize	Slider	N/A
5	Shape	Halo	Color	ShapeHaloColor	Color picker	N/A
5	Shape	Halo	Opacity	ShapeHaloOpacity	Slider	N/A
5	Shape	Halo	Fade	ShapeHaloFade	Slider	N/A
5	Shape	Shadow	Opacity	ShapeShadowOpacity	Slider	N/A
5	Shape	Shadow	Blend mode	ShapeShadowBlend mode	Combobox	N/A
5	Shape	Shadow	Distance	ShapeShadowDistance	Slider	N/A
5	Shape	Shadow	Color	ShapeShadowColor	Color picker	N/A
5	Shape	Fill	Color	ShapeFillColor	Color picker	N/A
5	Shape	Fill	Opacity	ShapeFillOpacity	Slider	N/A
5	Shape	Fill	Texture	ShapeFillTexture	Combobox + Button	N/A
4	Graphic	File	N/A	GraphicFile	Text + button	N/A
4	Graphic	Opacity	N/A	GraphicOpacity	Slider	N/A
4	Graphic	Blend mode	N/A	GraphicBlend mode	Combobox	N/A
5	Graphic	Location	X	GraphicLocationX	Text	N/A
5	Graphic	Location	Y	GraphicLocationY	Text	N/A
5	Graphic	Location	Anchor from	GraphicLocationAnchor from	Text	N/A
5	Graphic	Location	Anchor to	GraphicLocationAnchor to	Text	N/A
5	Graphic	Location	Orientation	GraphicLocationOrientation	Dial	N/A
